ORDER_DATE,TOTAL_ORDERS,TOTAL_REVENUE
2017-07-12,145,18564.40
2017-07-13,131,14325.51
2017-07-14,148,18595.16
2017-07-15,97,10880.66
2017-07-16,107,12627.74
2017-07-17,162,21349.98
2017-07-18,188,27935.20
2017-07-19,148,16171.41
2017-07-20,139,17839.28
2017-07-21,112,12629.05
2017-07-22,87,11426.81
2017-07-23,101,11850.11
2017-07-24,157,18183.72
2017-07-25,145,16789.24
2017-07-26,117,10807.07
2017-07-27,121,15518.03
2017-07-28,130,19479.26
2017-07-29,109,15127.60
2017-07-30,114,12149.73
2017-07-31,143,16976.19
2017-08-01,161,21321.15
2017-08-02,149,17797.09
2017-08-03,144,18285.62
2017-08-04,139,17912.82
2017-08-05,113,11793.34
2017-08-06,105,12902.48
2017-08-07,157,23257.84
2017-08-08,146,18661.63
2017-08-09,140,20128.37
2017-08-10,154,19865.55
2017-08-11,133,18916.38
2017-08-12,91,12384.17
2017-08-13,90,12244.30
2017-08-14,153,17905.47
2017-08-15,186,22813.74
2017-08-16,166,20461.27
2017-08-17,153,17819.11
2017-08-18,141,16734.31
2017-08-19,106,12842.58
2017-08-20,103,12873.78
2017-08-21,172,21480.85
2017-08-22,135,16570.13
2017-08-23,111,15873.61
2017-08-24,123,13121.01
2017-08-25,117,14462.15
2017-08-26,89,9797.90
2017-08-27,115,12893.21
2017-08-28,150,21318.73
2017-08-29,135,33236.48
2017-08-30,173,29116.37
2017-08-31,143,19908.26
2017-09-01,153,27983.45
2017-09-02,102,17911.76
2017-09-03,123,27615.52
2017-09-04,147,24757.98
2017-09-05,151,20674.76
2017-09-06,138,25101.81
2017-09-07,97,16893.50
2017-09-08,111,11484.60
2017-09-09,103,14554.65
2017-09-10,132,17144.50
2017-09-11,176,23246.89
2017-09-12,200,26431.54
2017-09-13,203,27263.48
2017-09-14,163,22188.87
2017-09-15,144,17959.58
2017-09-16,125,18965.74
2017-09-17,125,19979.42
2017-09-18,179,27232.01
2017-09-19,149,19616.67
